REPO	ORG	PYTHON	R	Dockerfile	DocktaDockerfile
DeNovoSV	NCBI-Codeathons	NO	NO	NO	YES
SWIGG	NCBI-Codeathons	NO	NO	YES	NO
Automated-Figure-extraction-and-Tagging	NCBI-Codeathons	YES	NO	NO	YES
Protein-Variant-Impact-Score	NCBI-Codeathons	YES	NO	NO	YES
Using-PubMed-MEDLINE-Metadata-to-Generate-Knowledge	NCBI-Codeathons	YES	NO	YES	YES
NNLM-FOA-Finding-organizing-and-analyzing-NNLM-funded-activity-data	NCBI-Codeathons	NO	NO	NO	YES
Taxonomy-specific-RPS-BLAST-part-I	NCBI-Codeathons	YES	NO	NO	YES
Use-UMLS-and-Python-to-classify-website-visitor-queries-into-measurable-categories	NCBI-Codeathons	YES	NO	YES	YES
Tell-us-how-you-really-feel-sentiment-analysis-with-Twitter	NCBI-Codeathons	YES	NO	NO	YES
Taxonomy_Domain_Integration	NCBI-Codeathons	YES	NO	YES	YES
Domain_HMM_Boundaries	NCBI-Codeathons	YES	NO	NO	YES
Host_Phage_Interactions	NCBI-Codeathons	NO	NO	NO	YES
Virus_Graphs	NCBI-Codeathons	YES	NO	NO	YES
The_Virus_Index	NCBI-Codeathons	YES	NO	NO	YES
HOPDARM	NCBI-Codeathons	YES	NO	NO	YES
A-DEEP-CONVOLUTIONAL-NEURAL-NETWORK-FOR-IDENTIFYING-THYROID-CANCER	NCBI-Codeathons	YES	NO	NO	YES
MONITORING-POST-OPERATIVE-HEAD-NECK-CANCER-PATIENTS-VIA-SELF-POWERED-SMART-INSOLES	NCBI-Codeathons	YES	NO	NO	YES
DEFINITION-OF-CELL-CYCLE-STATE-IN-LABEL-FREE-IMAGES	NCBI-Codeathons	YES	NO	NO	YES
SLEuth	NCBI-Codeathons	YES	NO	NO	YES
THE-ISOFORM-POTENTIAL-OF-THE-GENOME	NCBI-Codeathons	YES	NO	NO	YES
USING-MACHINE-LEARNING-TO-IMPROVE-POST-ACUTE-REHABILITATION-PROCESS-FLOW	NCBI-Codeathons	YES	NO	NO	YES
NGcubed	NCBI-Codeathons	YES	NO	NO	YES
REAL-TIME-CARDIAC-ASSESSMENT-OF-CATHETERIZATION-DERIVED-FICK-AND-CMR-DERIVED-FLOW	NCBI-Codeathons	YES	NO	NO	YES
NOVEL-CLINICAL-PREDICTION-APPROACHES-TO-MANAGING-CARE-FOR-ACUTE-PULMONARY-EMBOLISM-PATIENTS	NCBI-Codeathons	NO	NO	NO	YES
OPTICAL-COHERENCE-TOMOGRAPHY-ANGIOGRAPHY-IN-GLAUCOMA	NCBI-Codeathons	NO	NO	NO	YES
Evolutionary_Protein_Interaction_Conjecture	NCBI-Codeathons	YES	NO	NO	YES
GWAusage	NCBI-Codeathons	NO	NO	YES	NO
VirusGraphs3	NCBI-Codeathons	YES	NO	NO	YES
ViraVate	NCBI-Codeathons	NO	NO	YES	NO
single-cell-comparison	NCBI-Codeathons	NO	NO	NO	NO
Assessment-of-log-transformation-and-z-scores-for-scRNA-seq-data-analysis	NCBI-Codeathons	YES	NO	NO	YES
Identifying-bulk-RNA-seq-derived-biomarkers-of-cancer-risk-within-single-cell-populations	NCBI-Codeathons	YES	NO	NO	YES
MASCARA	NCBI-Codeathons	NO	NO	YES	YES
Understand-cancer-evolution-through-single-cell-expression-dynamics	NCBI-Codeathons	YES	NO	NO	YES
automated-sc-RNA-seq-analysis-in-the-cloud	NCBI-Codeathons	YES	NO	YES	YES
NI	NCBI-Codeathons	NO	NO	NO	YES
OMOPOmics	NCBI-Codeathons	YES	YES	YES	YES
MetGraphs	NCBI-Codeathons	NO	NO	NO	YES
SeqMoid	NCBI-Codeathons	NO	NO	NO	YES
Integrating-multi-omics-data-in-yeast	NCBI-Codeathons	YES	NO	NO	YES
airbending_isoseq	NCBI-Codeathons	NO	NO	NO	NO
Automating-tools-to-search-and-analyze-large-genome-sequence-repositories	NCBI-Codeathons	NO	NO	YES	NO
Diversifying-the-pipeline-for-identifying-bulk-RNA-seq-derived-biomarkers-of-cancer-risk-within-sing	NCBI-Codeathons	NO	NO	NO	YES
Marker-Gene-Validator	NCBI-Codeathons	YES	NO	NO	YES
SARS-CoV-2-host-genes	NCBI-Codeathons	YES	NO	NO	YES
Genes-in-the-Hood	NCBI-Codeathons	YES	NO	NO	YES
SARS2-Variation-Viewer	NCBI-Codeathons	YES	NO	NO	YES
NCGAS-cloud-workshop	NCBI-Codeathons	NO	NO	NO	YES
asm-ngs-workshop	NCBI-Codeathons	NO	NO	NO	NO
glaucoma-oct-scans	NCBI-Codeathons	NO	NO	NO	NO
wgs-sars-cov2	NCBI-Codeathons	NO	NO	NO	NO
lung-rna-seq	NCBI-Codeathons	NO	NO	NO	NO
ElasticBLAST-CoFest-BOSC-2021	NCBI-Codeathons	NO	NO	NO	YES
hackathon_v001_rnaseq	NCBI-Hackathons	NO	NO	NO	NO
hackathon_v001_epigenomics	NCBI-Hackathons	NO	NO	NO	NO
hackathon_v001_metagenomics	NCBI-Hackathons	NO	NO	NO	NO
RNA_mapping	NCBI-Hackathons	NO	NO	YES	NO
HASSL_Homogeneous_Analysis_of_SRA_rnaSequencing_Libraries	NCBI-Hackathons	YES	NO	NO	YES
RNA-seq_Comparison_Pipeline	NCBI-Hackathons	YES	NO	NO	YES
NCBI_August_Hackathon_Push_Button_Genomics_Solution	NCBI-Hackathons	YES	NO	NO	YES
seqr	NCBI-Hackathons	NO	NO	YES	NO
Pharmacogenomics_Prediction_Pipeline_P3	NCBI-Hackathons	YES	NO	YES	YES
movetest	NCBI-Hackathons	NO	NO	NO	NO
DASH_cell_type	NCBI-Hackathons	YES	NO	NO	YES
Community_Software_Tools_for_NGS	NCBI-Hackathons	NO	NO	NO	YES
seqr-tokenizer	NCBI-Hackathons	NO	NO	NO	NO
solr-tanimoto	NCBI-Hackathons	NO	NO	NO	NO
Educational_Resources	NCBI-Hackathons	NO	NO	NO	YES
Resources_for_Designing_Hackathons	NCBI-Hackathons	NO	NO	NO	YES
Structural_Variant_Comparison	NCBI-Hackathons	YES	NO	NO	YES
iMETRIC	NCBI-Hackathons	YES	NO	NO	YES
Metadata_categorization	NCBI-Hackathons	YES	NO	NO	YES
Network_SNPs	NCBI-Hackathons	YES	NO	NO	YES
SRA2R	NCBI-Hackathons	NO	YES	NO	YES
Structure_Visualization	NCBI-Hackathons	NO	NO	NO	YES
rnaseqview	NCBI-Hackathons	NO	NO	NO	NO
immunogenicity	NCBI-Hackathons	NO	NO	NO	NO
neuronvar	NCBI-Hackathons	NO	NO	NO	NO
sv_and_isoforms_from_RNAseq	NCBI-Hackathons	YES	NO	NO	YES
3Dvizongenome	NCBI-Hackathons	NO	NO	NO	YES
Ultrafast_protein_structure_viz_x	NCBI-Hackathons	NO	NO	NO	YES
3D_2D_Rep_Structure	NCBI-Hackathons	NO	NO	NO	YES
PDB2Genome	NCBI-Hackathons	NO	NO	NO	YES
Code_in_PubMed_Abstracts	NCBI-Hackathons	YES	NO	NO	YES
ECfromPDB	NCBI-Hackathons	NO	NO	NO	YES
icn3d	NCBI-Hackathons	NO	NO	NO	NO
iCN3D-MMTF	NCBI-Hackathons	NO	NO	NO	YES
svcompare	NCBI-Hackathons	NO	NO	NO	NO
TCGA_dbGaP	NCBI-Hackathons	YES	NO	NO	YES
Machine_Learning_Immunogenicity	NCBI-Hackathons	YES	NO	NO	YES
Network_Stats_Acc_Interop	NCBI-Hackathons	YES	NO	NO	YES
Metagenomic_Transcriptomes	NCBI-Hackathons	YES	NO	NO	YES
NIH_Bioinformatics_SIG_website	NCBI-Hackathons	NO	NO	NO	YES
GLBIO_Computational_Biologist_Speed_Dating_Session	NCBI-Hackathons	NO	NO	NO	YES
ncbi-hackathonshub.io	NCBI-Hackathons	NO	NO	NO	NO
NovoGraph	NCBI-Hackathons	NO	NO	YES	NO
Structural_Variants_CSHL	NCBI-Hackathons	NO	NO	NO	YES
Ultrafast_Mapping_CSHL	NCBI-Hackathons	NO	NO	YES	NO
Cancer_Epitopes_CSHL	NCBI-Hackathons	NO	NO	YES	NO
ncbi-hackathons	NCBI-Hackathons	NO	NO	NO	NO
EDirectCookbook	NCBI-Hackathons	NO	NO	NO	YES
Family_Health_History_EHR_Integration	NCBI-Hackathons	NO	NO	NO	YES
PubChem_WikiData_Interoperability	NCBI-Hackathons	NO	NO	NO	YES
PhenVar	NCBI-Hackathons	YES	NO	NO	YES
PubMed2GenePairs	NCBI-Hackathons	YES	NO	NO	YES
PubRunner	NCBI-Hackathons	YES	NO	YES	YES
Visualizing_MeSH_Term_Interaction_Over_Time	NCBI-Hackathons	NO	NO	YES	NO
FHH	NCBI-Hackathons	NO	NO	NO	NO
dockerbuilds	NCBI-Hackathons	NO	NO	YES	NO
Graph_Extraction	NCBI-Hackathons	NO	NO	NO	YES
ga4gh-ncbi-api	NCBI-Hackathons	NO	NO	NO	NO
Master_gff3_parser	NCBI-Hackathons	NO	NO	NO	YES
Scan2CNV	NCBI-Hackathons	YES	NO	NO	YES
Virus_Detection_SRA	NCBI-Hackathons	NO	NO	NO	YES
Epigenomics_CWL	NCBI-Hackathons	NO	NO	YES	YES
Box_Jellyfish_Assembly	NCBI-Hackathons	NO	NO	NO	YES
arvos	NCBI-Hackathons	NO	NO	YES	NO
PSST	NCBI-Hackathons	YES	NO	NO	YES
Tumor_sim	NCBI-Hackathons	YES	NO	NO	YES
BarcSeek	NCBI-Hackathons	YES	NO	NO	YES
Virus_Domains	NCBI-Hackathons	NO	NO	NO	YES
Staph_aureus_viewer	NCBI-Hackathons	NO	NO	NO	NO
Proteomic_Correlation_Shiny	NCBI-Hackathons	NO	YES	NO	YES
SuMu	NCBI-Hackathons	NO	YES	NO	YES
Mutation_burden	NCBI-Hackathons	NO	NO	NO	YES
Refactoring_Bioinformatics_Pipelines	NCBI-Hackathons	NO	NO	YES	YES
Run_an_NCBI-style_hackathon	NCBI-Hackathons	NO	NO	NO	YES
SVAI_Redirect	NCBI-Hackathons	NO	NO	NO	YES
VirusFrankenstein	NCBI-Hackathons	NO	NO	NO	YES
SNPhancers	NCBI-Hackathons	NO	NO	NO	YES
GenomicRobots	NCBI-Hackathons	YES	NO	YES	YES
ComplexPhenotypes	NCBI-Hackathons	NO	YES	NO	YES
SCANT	NCBI-Hackathons	YES	NO	NO	YES
NCBIComputationalCookbook	NCBI-Hackathons	NO	NO	NO	YES
GeneExpressionAging	NCBI-Hackathons	NO	NO	YES	NO
OnlineAdapterDatabase	NCBI-Hackathons	NO	NO	YES	NO
MetagenomicAntibioticResistance	NCBI-Hackathons	NO	NO	NO	YES
Variant_analysis_pipelines	NCBI-Hackathons	NO	NO	NO	YES
Genbank2sequin	NCBI-Hackathons	YES	NO	NO	YES
SSX	NCBI-Hackathons	NO	NO	NO	YES
NCBI_Visiting_Bioinformatician_Program	NCBI-Hackathons	NO	NO	NO	YES
past_virus_exposure_detection	NCBI-Hackathons	NO	NO	NO	NO
SPeW	NCBI-Hackathons	NO	NO	NO	YES
SC3	NCBI-Hackathons	NO	NO	NO	YES
HAQmap	NCBI-Hackathons	NO	NO	NO	YES
virusspace	NCBI-Hackathons	NO	NO	NO	NO
Metagenomics_Analysis_Course	NCBI-Hackathons	NO	NO	NO	YES
ViruSpy	NCBI-Hackathons	YES	NO	NO	YES
GRDR	NCBI-Hackathons	NO	NO	NO	YES
Complex_Phenogeno	NCBI-Hackathons	YES	NO	NO	YES
EndoVir	NCBI-Hackathons	YES	NO	NO	YES
LabPype	NCBI-Hackathons	YES	NO	NO	YES
GoodDoc	NCBI-Hackathons	NO	NO	NO	YES
Test_Code_1	NCBI-Hackathons	NO	NO	NO	YES
ContamFilter	NCBI-Hackathons	NO	NO	YES	YES
ClinVar_in_3D	NCBI-Hackathons	NO	NO	NO	YES
deSRA	NCBI-Hackathons	NO	NO	YES	NO
NCBI_Jupyter	NCBI-Hackathons	NO	NO	NO	YES
ProteinMagicBlast	NCBI-Hackathons	NO	NO	YES	NO
MetadataTable	NCBI-Hackathons	YES	NO	NO	YES
Got_Plasmid	NCBI-Hackathons	NO	NO	NO	YES
Annotation_Checker	NCBI-Hackathons	YES	NO	NO	YES
GeneFamTaxScan	NCBI-Hackathons	YES	NO	NO	YES
VirusFriends	NCBI-Hackathons	YES	NO	NO	YES
ApeShape	NCBI-Hackathons	NO	NO	NO	YES
Biollante	NCBI-Hackathons	YES	NO	YES	YES
PuRSSE	NCBI-Hackathons	YES	NO	NO	YES
CDEMapper	NCBI-Hackathons	NO	NO	NO	YES
ClusterDuck	NCBI-Hackathons	YES	NO	NO	YES
EgreTT	NCBI-Hackathons	YES	NO	NO	YES
Viewthebams	NCBI-Hackathons	NO	NO	NO	YES
viSRA	NCBI-Hackathons	NO	NO	NO	YES
CustomBLAST	NCBI-Hackathons	NO	NO	NO	YES
SingleCellVariants	NCBI-Hackathons	NO	NO	NO	YES
STREAMclean	NCBI-Hackathons	YES	NO	NO	YES
ViRGo	NCBI-Hackathons	NO	NO	NO	YES
HackathonBaseImages	NCBI-Hackathons	NO	NO	YES	YES
genomicdata.io	NCBI-Hackathons	NO	NO	NO	NO
MASSIF-BLAST	NCBI-Hackathons	NO	NO	YES	YES
chromatinonlinedatabase	NCBI-Hackathons	NO	NO	NO	NO
CakeCell	NCBI-Hackathons	YES	NO	NO	YES
CapNetProtStruct	NCBI-Hackathons	YES	NO	NO	YES
MR_BACOn	NCBI-Hackathons	NO	NO	NO	YES
drugdisco	NCBI-Hackathons	NO	NO	YES	NO
IEaT	NCBI-Hackathons	NO	NO	YES	YES
RNAseq_variants	NCBI-Hackathons	NO	NO	NO	YES
MetaMapLite_BioSample	NCBI-Hackathons	NO	NO	NO	YES
PrecisionMedicineToolkit	NCBI-Hackathons	YES	NO	NO	YES
PubCode	NCBI-Hackathons	NO	NO	YES	YES
viSRAtoo	NCBI-Hackathons	NO	NO	YES	NO
CXXToolkit	NCBI-Hackathons	NO	NO	NO	YES
HapPyNet	NCBI-Hackathons	YES	NO	NO	YES
ContainerInception	NCBI-Hackathons	YES	NO	YES	YES
SpoonFedNanopore	NCBI-Hackathons	NO	NO	YES	NO
VirusAlert	NCBI-Hackathons	YES	NO	NO	YES
Tryptase_Duplication	NCBI-Hackathons	YES	NO	NO	YES
Salphagome	NCBI-Hackathons	NO	NO	NO	YES
seqacademy	NCBI-Hackathons	NO	NO	NO	NO
clint	NCBI-Hackathons	NO	NO	YES	NO
MetaROOT	NCBI-Hackathons	NO	NO	NO	NO
RetroSpotter	NCBI-Hackathons	YES	NO	NO	YES
PYRAMMID	NCBI-Hackathons	NO	NO	NO	YES
GeneHummus	NCBI-Hackathons	NO	YES	NO	YES
MetaScare	NCBI-Hackathons	YES	NO	NO	YES
CUPofTEA	NCBI-Hackathons	NO	NO	NO	YES
HummusGraph	NCBI-Hackathons	NO	NO	NO	YES
SimpleGeneExpression	NCBI-Hackathons	NO	NO	NO	YES
Containers_and_Workflows_Workshop	NCBI-Hackathons	NO	NO	NO	YES
LNCPEP	NCBI-Hackathons	YES	NO	YES	YES
McDiff	NCBI-Hackathons	YES	NO	NO	YES
ATACFlow	NCBI-Hackathons	NO	NO	YES	NO
chervil	NCBI-Hackathons	NO	NO	YES	NO
SRA_Tinder	NCBI-Hackathons	NO	NO	NO	NO
Jupyterized_Pipelines	NCBI-Hackathons	NO	NO	NO	YES
FlopPyBuild	NCBI-Hackathons	NO	NO	NO	YES
RetroCancer	NCBI-Hackathons	NO	NO	YES	NO
OrthoGrasp	NCBI-Hackathons	NO	NO	YES	NO
TheVariantExpress	NCBI-Hackathons	NO	NO	NO	YES
visavirgo	NCBI-Hackathons	NO	NO	NO	NO
PrIMP	NCBI-Hackathons	NO	NO	YES	NO
phenotypeXpression	NCBI-Hackathons	YES	NO	YES	YES
CTEligible	NCBI-Hackathons	NO	NO	YES	NO
Bugs_And_Drugs	NCBI-Hackathons	NO	NO	YES	NO
FlowBio	NCBI-Hackathons	NO	NO	YES	NO
SVabel	NCBI-Hackathons	NO	YES	NO	YES
DNArepdb	NCBI-Hackathons	NO	NO	NO	YES
SafeDrugs	NCBI-Hackathons	NO	NO	YES	NO
PyClonal	NCBI-Hackathons	YES	NO	NO	YES
ScrubSV	NCBI-Hackathons	NO	NO	NO	YES
Plasmitron	NCBI-Hackathons	NO	NO	NO	YES
ExpressiVar	NCBI-Hackathons	YES	NO	NO	YES
RaGAN	NCBI-Hackathons	YES	NO	NO	YES
Peptides-SpecTra-Annotations-PaSTA	NCBI-Hackathons	YES	NO	NO	YES
Biological-structure-segmentation-in-microscopy-images-using-deep-learning	NCBI-Hackathons	YES	NO	NO	YES
Semantic-search-log-analysis-pipeline	NCBI-Hackathons	NO	NO	NO	NO
PHANTUM	NCBI-Hackathons	YES	NO	YES	YES
Hidden-Figures	NCBI-Hackathons	YES	NO	NO	YES
AutoContain	NCBI-Hackathons	YES	NO	YES	YES
VirusDiscoveryProject	NCBI-Hackathons	YES	NO	NO	YES
HLAClustRView	NCBI-Hackathons	NO	YES	NO	YES
DiseaseCluster	NCBI-Hackathons	YES	NO	NO	YES
Determination-of-all-control-datasets-in-large-public-repositories	NCBI-Hackathons	NO	NO	NO	YES
manubot_test	NCBI-Hackathons	NO	NO	NO	NO
TCRecePy	NCBI-Hackathons	YES	NO	NO	YES
TurboReceptors	NCBI-Hackathons	NO	NO	NO	YES
deVoReaNN	NCBI-Hackathons	YES	NO	YES	YES
PocketProtectors	NCBI-Hackathons	YES	NO	NO	YES
NeuroFindeR	NCBI-Hackathons	NO	NO	NO	YES
EcMOdel	NCBI-Hackathons	NO	NO	NO	YES
HistoloMaps	NCBI-Hackathons	NO	NO	NO	YES
AreYouMeta	NCBI-Hackathons	YES	NO	NO	YES
HeartDicer	NCBI-Hackathons	YES	NO	NO	YES
DiabetesDataViewer	NCBI-Hackathons	YES	NO	NO	YES
TriFECTA	NCBI-Hackathons	YES	NO	NO	YES
LiverLipidCoders	NCBI-Hackathons	NO	NO	NO	YES
Awesome_enhancer_promoter_dbs	NCBI-Hackathons	NO	NO	NO	YES
AssesSV	NCBI-Hackathons	YES	NO	NO	YES
Kipoi-GWAS	NCBI-Hackathons	YES	NO	NO	YES
NCBI_PowerTools_Docker	NCBI-Hackathons	NO	NO	YES	NO
FAIR_apps	NCBI-Hackathons	YES	NO	YES	YES
VirtualHeart	NCBI-Hackathons	NO	NO	NO	YES
FAIRy-COMPASS	NCBI-Hackathons	YES	NO	YES	YES
Clustering-autism-phenotypes-by-automated-text-analysis	NCBI-Hackathons	YES	NO	NO	YES
Immune-Cell-Composition-estimation-in-the-Pediatric-Brain-Tumor-Atlas	NCBI-Hackathons	NO	NO	YES	YES
CytoMap	NCBI-Hackathons	YES	NO	NO	YES
Metabolomics-Data-Portal	NCBI-Hackathons	NO	YES	YES	NO
Curated_Metagenomics	NCBI-Hackathons	NO	NO	NO	YES
EmbeddeDocker	NCBI-Hackathons	NO	NO	YES	YES
ConsensusML	NCBI-Hackathons	YES	NO	NO	YES
MutPredMerge	NCBI-Hackathons	YES	NO	NO	YES
HaploCravat	NCBI-Hackathons	YES	NO	NO	YES
Building-an-automatically-updating-interactive-web-visualizations-for-QC-metrics-of-ABCD-datasets	NCBI-Hackathons	NO	NO	NO	YES
Phenogeno_Viz	NCBI-Hackathons	NO	NO	NO	YES
Rapid_Clinical_Diagnostics	NCBI-Hackathons	NO	NO	NO	YES
pheno_geno_ataxia	NCBI-Hackathons	NO	NO	NO	NO
UPWARD	NCBI-Hackathons	NO	NO	YES	YES
MassiveSeq	NCBI-Hackathons	NO	NO	NO	YES
RNA-Seq-in-the-Cloud	NCBI-Hackathons	YES	NO	YES	YES
TheHumanPangenome	NCBI-Hackathons	YES	NO	NO	YES
Computational_Virology_Workshop	NCBI-Hackathons	NO	NO	NO	YES
BioAssay-Express-Applying-FAIR-Principles-to-Bioassay-Protocols	NCBI-Hackathons	NO	NO	NO	YES
BLAST-Pipelines-and-FAIR	NCBI-Hackathons	NO	NO	NO	YES
The-Broad-Institute-Single-Cell-RNA-Seq-Data-Set	NCBI-Hackathons	YES	NO	NO	YES
Bringing-the-Power-of-Synthetic-Data-Generation-to-the-Masses	NCBI-Hackathons	NO	NO	NO	YES
DOE-JGI-Genomics-Data-Set	NCBI-Hackathons	YES	NO	NO	YES
Generating-a-Fungal-Index-for-the-SRA	NCBI-Hackathons	YES	NO	NO	YES
Integrating-Globus-into-Galaxy-to-Enable-FAIRifying-Data	NCBI-Hackathons	YES	NO	NO	YES
personalgenomics	NCBI-Hackathons	NO	NO	NO	NO
Expanding-OpenCRAVAT	NCBI-Hackathons	YES	NO	NO	YES
Females-Are-Insisting-on-Reproducibility	NCBI-Hackathons	NO	NO	NO	YES
TraIN	NCBI-Hackathons	YES	NO	NO	YES
Design-of-ICD-9-to-10-conversion-function-for-the-R-package-icd	NCBI-Hackathons	NO	NO	NO	YES
Viral-VDAP	NCBI-Hackathons	NO	NO	YES	NO
Pipeline-for-Design-of-Patient-Specific-Disease-Progression-Phenotypes	NCBI-Hackathons	NO	NO	NO	YES
PubImproved	NCBI-Hackathons	NO	NO	YES	NO
WorkshopHackathon	NCBI-Hackathons	YES	NO	NO	YES
Hiding-in-plain-sight-unannotated-structural-variants-in-public-genomic-data-sets	NCBI-Hackathons	YES	NO	NO	YES
Computational_Medicine_1	NCBI-Hackathons	YES	NO	YES	YES
PhenVar2	NCBI-Hackathons	YES	NO	NO	YES
CoExpressionBrowser	NCBI-Hackathons	NO	NO	NO	YES
AD_Haplo_ML	NCBI-Hackathons	NO	NO	YES	NO
cob	NCBI-Hackathons	NO	NO	YES	NO
ncbi-cloud-tutorials	NCBI-Hackathons	NO	NO	NO	NO
ncbi-hackathonsdevhub.io	NCBI-Hackathons	NO	NO	NO	NO
ncbi-hackathonsclone	NCBI-Hackathons	NO	NO	NO	NO
MetaClaMP-ML	NCBI-Hackathons	YES	NO	NO	YES
Nasty_Metagenomes	NCBI-Hackathons	YES	NO	YES	YES
Virulence_AMR_Data_Index_Resource	NCBI-Hackathons	YES	NO	NO	YES
Metatranscriptomics_Pilot	NCBI-Hackathons	NO	NO	NO	YES
Enterococcus_Mobile_Elements	NCBI-Hackathons	NO	NO	NO	YES
Virulence_Factor_Characterization	NCBI-Hackathons	NO	NO	YES	NO
HaploFHIR	NCBI-Hackathons	NO	NO	NO	YES
